Date,Urea,month_name,year,month_name2
Jul 1992,120.0,Jul,1992,July
Aug 1992,120.0,Aug,1992,August
Sep 1992,120.0,Sep,1992,September
Oct 1992,116.88,Oct,1992,October
Nov 1992,107.5,Nov,1992,November
Dec 1992,103.75,Dec,1992,December
Jan 1993,102.5,Jan,1993,January
Feb 1993,102.5,Feb,1993,February
Mar 1993,86.2,Mar,1993,March
Apr 1993,81.0,Apr,1993,April
May 1993,81.0,May,1993,May
Jun 1993,81.0,Jun,1993,June
Jul 1993,81.0,Jul,1993,July
Aug 1993,81.0,Aug,1993,August
Sep 1993,81.0,Sep,1993,September
Oct 1993,81.0,Oct,1993,October
Nov 1993,82.8,Nov,1993,November
Dec 1993,85.5,Dec,1993,December
Jan 1994,85.5,Jan,1994,January
Feb 1994,85.5,Feb,1994,February
Mar 1994,98.63,Mar,1994,March
Apr 1994,103.5,Apr,1994,April
May 1994,103.5,May,1994,May
Jun 1994,103.5,Jun,1994,June
Jul 1994,106.5,Jul,1994,July
Aug 1994,88.0,Aug,1994,August
Sep 1994,88.0,Sep,1994,September
Oct 1994,88.0,Oct,1994,October
Nov 1994,88.0,Nov,1994,November
Dec 1994,88.0,Dec,1994,December
Jan 1995,159.6,Jan,1995,January
Feb 1995,177.5,Feb,1995,February
Mar 1995,191.25,Mar,1995,March
Apr 1995,205.0,Apr,1995,April
May 1995,159.0,May,1995,May
Jun 1995,90.0,Jun,1995,June
Jul 1995,90.0,Jul,1995,July
Aug 1995,90.0,Aug,1995,August
Sep 1995,90.0,Sep,1995,September
Oct 1995,90.0,Oct,1995,October
Nov 1995,90.0,Nov,1995,November
Dec 1995,90.0,Dec,1995,December
Jan 1996,90.0,Jan,1996,January
Feb 1996,90.0,Feb,1996,February
Mar 1996,90.0,Mar,1996,March
Apr 1996,160.4,Apr,1996,April
May 1996,169.5,May,1996,May
Jun 1996,172.13,Jun,1996,June
Jul 1996,184.5,Jul,1996,July
Aug 1996,187.0,Aug,1996,August
Sep 1996,181.4,Sep,1996,September
Oct 1996,172.25,Oct,1996,October
Nov 1996,172.63,Nov,1996,November
Dec 1996,174.5,Dec,1996,December
Jan 1997,173.5,Jan,1997,January
Feb 1997,160.38,Feb,1997,February
Mar 1997,148.0,Mar,1997,March
Apr 1997,135.0,Apr,1997,April
May 1997,113.13,May,1997,May
Jun 1997,108.5,Jun,1997,June
Jul 1997,112.5,Jul,1997,July
Aug 1997,102.5,Aug,1997,August
Sep 1997,88.3,Sep,1997,September
Oct 1997,87.5,Oct,1997,October
Nov 1997,90.63,Nov,1997,November
Dec 1997,90.0,Dec,1997,December
Jan 1998,86.25,Jan,1998,January
Feb 1998,77.5,Feb,1998,February
Mar 1998,84.5,Mar,1998,March
Apr 1998,100.0,Apr,1998,April
May 1998,95.0,May,1998,May
Jun 1998,88.4,Jun,1998,June
Jul 1998,86.0,Jul,1998,July
Aug 1998,85.5,Aug,1998,August
Sep 1998,83.63,Sep,1998,September
Oct 1998,75.63,Oct,1998,October
Nov 1998,70.7,Nov,1998,November
Dec 1998,65.5,Dec,1998,December
Jan 1999,64.5,Jan,1999,January
Feb 1999,64.0,Feb,1999,February
Mar 1999,75.5,Mar,1999,March
Apr 1999,64.5,Apr,1999,April
May 1999,64.9,May,1999,May
Jun 1999,63.75,Jun,1999,June
Jul 1999,62.75,Jul,1999,July
Aug 1999,65.7,Aug,1999,August
Sep 1999,67.5,Sep,1999,September
Oct 1999,65.38,Oct,1999,October
Nov 1999,66.0,Nov,1999,November
Dec 1999,66.83,Dec,1999,December
Jan 2000,77.4,Jan,2000,January
Feb 2000,90.13,Feb,2000,February
Mar 2000,88.75,Mar,2000,March
Apr 2000,83.25,Apr,2000,April
May 2000,91.0,May,2000,May
Jun 2000,105.13,Jun,2000,June
Jul 2000,121.7,Jul,2000,July
Aug 2000,133.38,Aug,2000,August
Sep 2000,113.88,Sep,2000,September
Oct 2000,111.1,Oct,2000,October
Nov 2000,99.38,Nov,2000,November
Dec 2000,96.0,Dec,2000,December
Jan 2001,121.0,Jan,2001,January
Feb 2001,105.25,Feb,2001,February
Mar 2001,98.88,Mar,2001,March
Apr 2001,95.3,Apr,2001,April
May 2001,85.0,May,2001,May
Jun 2001,87.5,Jun,2001,June
Jul 2001,87.5,Jul,2001,July
Aug 2001,88.75,Aug,2001,August
Sep 2001,94.5,Sep,2001,September
Oct 2001,96.1,Oct,2001,October
Nov 2001,96.5,Nov,2001,November
Dec 2001,101.17,Dec,2001,December
Jan 2002,104.13,Jan,2002,January
Feb 2002,99.63,Feb,2002,February
Mar 2002,90.25,Mar,2002,March
Apr 2002,84.7,Apr,2002,April
May 2002,85.5,May,2002,May
Jun 2002,92.75,Jun,2002,June
Jul 2002,94.2,Jul,2002,July
Aug 2002,105.0,Aug,2002,August
Sep 2002,93.0,Sep,2002,September
Oct 2002,92.25,Oct,2002,October
Nov 2002,92.25,Nov,2002,November
Dec 2002,99.38,Dec,2002,December
Jan 2003,112.0,Jan,2003,January
Feb 2003,132.13,Feb,2003,February
Mar 2003,138.9,Mar,2003,March
Apr 2003,118.63,Apr,2003,April
May 2003,128.13,May,2003,May
Jun 2003,133.9,Jun,2003,June
Jul 2003,142.75,Jul,2003,July
Aug 2003,141.5,Aug,2003,August
Sep 2003,146.8,Sep,2003,September
Oct 2003,150.63,Oct,2003,October
Nov 2003,153.5,Nov,2003,November
Dec 2003,159.38,Dec,2003,December
Jan 2004,160.25,Jan,2004,January
Feb 2004,134.5,Feb,2004,February
Mar 2004,130.5,Mar,2004,March
Apr 2004,128.38,Apr,2004,April
May 2004,135.9,May,2004,May
Jun 2004,158.25,Jun,2004,June
Jul 2004,185.0,Jul,2004,July
Aug 2004,196.2,Aug,2004,August
Sep 2004,218.13,Sep,2004,September
Oct 2004,242.13,Oct,2004,October
Nov 2004,224.5,Nov,2004,November
Dec 2004,185.25,Dec,2004,December
Jan 2005,184.6,Jan,2005,January
Feb 2005,185.75,Feb,2005,February
Mar 2005,217.13,Mar,2005,March
Apr 2005,242.13,Apr,2005,April
May 2005,256.0,May,2005,May
Jun 2005,217.5,Jun,2005,June
Jul 2005,221.88,Jul,2005,July
Aug 2005,208.5,Aug,2005,August
Sep 2005,210.38,Sep,2005,September
Oct 2005,215.5,Oct,2005,October
Nov 2005,235.0,Nov,2005,November
Dec 2005,213.88,Dec,2005,December
Jan 2006,202.3,Jan,2006,January
Feb 2006,213.88,Feb,2006,February
Mar 2006,243.13,Mar,2006,March
Apr 2006,247.5,Apr,2006,April
May 2006,229.5,May,2006,May
Jun 2006,210.0,Jun,2006,June
Jul 2006,205.5,Jul,2006,July
Aug 2006,210.5,Aug,2006,August
Sep 2006,215.13,Sep,2006,September
Oct 2006,209.2,Oct,2006,October
Nov 2006,227.38,Nov,2006,November
Dec 2006,251.67,Dec,2006,December
Jan 2007,265.0,Jan,2007,January
Feb 2007,299.38,Feb,2007,February
Mar 2007,318.13,Mar,2007,March
Apr 2007,291.0,Apr,2007,April
May 2007,293.13,May,2007,May
Jun 2007,291.88,Jun,2007,June
Jul 2007,269.5,Jul,2007,July
Aug 2007,260.63,Aug,2007,August
Sep 2007,305.0,Sep,2007,September
Oct 2007,323.75,Oct,2007,October
Nov 2007,366.25,Nov,2007,November
Dec 2007,401.67,Dec,2007,December
Jan 2008,376.63,Jan,2008,January
Feb 2008,328.13,Feb,2008,February
Mar 2008,371.0,Mar,2008,March
Apr 2008,462.5,Apr,2008,April
May 2008,633.75,May,2008,May
Jun 2008,642.0,Jun,2008,June
Jul 2008,733.75,Jul,2008,July
Aug 2008,785.0,Aug,2008,August
Sep 2008,744.5,Sep,2008,September
Oct 2008,575.0,Oct,2008,October
Nov 2008,287.5,Nov,2008,November
Dec 2008,240.0,Dec,2008,December
Jan 2009,273.75,Jan,2009,January
Feb 2009,281.25,Feb,2009,February
Mar 2009,268.5,Mar,2009,March
Apr 2009,245.63,Apr,2009,April
May 2009,236.25,May,2009,May
Jun 2009,239.7,Jun,2009,June
Jul 2009,243.75,Jul,2009,July
Aug 2009,251.5,Aug,2009,August
Sep 2009,232.25,Sep,2009,September
Oct 2009,234.88,Oct,2009,October
Nov 2009,243.5,Nov,2009,November
Dec 2009,262.0,Dec,2009,December
Jan 2010,266.5,Jan,2010,January
Feb 2010,297.5,Feb,2010,February
Mar 2010,278.7,Mar,2010,March
Apr 2010,253.75,Apr,2010,April
May 2010,234.0,May,2010,May
Jun 2010,226.25,Jun,2010,June
Jul 2010,259.38,Jul,2010,July
Aug 2010,263.5,Aug,2010,August
Sep 2010,308.75,Sep,2010,September
Oct 2010,332.5,Oct,2010,October
Nov 2010,365.4,Nov,2010,November
Dec 2010,380.63,Dec,2010,December
Jan 2011,378.5,Jan,2011,January
Feb 2011,297.5,Feb,2011,February
Mar 2011,278.7,Mar,2011,March
Apr 2011,253.75,Apr,2011,April
May 2011,234.0,May,2011,May
Jun 2011,478.75,Jun,2011,June
Jul 2011,483.75,Jul,2011,July
Aug 2011,475.5,Aug,2011,August
Sep 2011,508.75,Sep,2011,September
Oct 2011,493.5,Oct,2011,October
Nov 2011,481.25,Nov,2011,November
Dec 2011,423.13,Dec,2011,December
Jan 2012,368.0,Jan,2012,January
Feb 2012,375.0,Feb,2012,February
Mar 2012,393.13,Mar,2012,March
Apr 2012,494.38,Apr,2012,April
May 2012,513.13,May,2012,May
Jun 2012,456.88,Jun,2012,June
Jul 2012,307.5,Jul,2012,July
Aug 2012,382.5,Aug,2012,August
Sep 2012,384.38,Sep,2012,September
Oct 2012,349.0,Oct,2012,October
Nov 2012,383.5,Nov,2012,November
Dec 2012,375.83,Dec,2012,December
Jan 2013,380.0,Jan,2013,January
Feb 2013,415.63,Feb,2013,February
Mar 2013,395.63,Mar,2013,March
Apr 2013,365.63,Apr,2013,April
May 2013,358.13,May,2013,May
Jun 2013,329.38,Jun,2013,June
Jul 2013,312.5,Jul,2013,July
Aug 2013,310.63,Aug,2013,August
Sep 2013,301.0,Sep,2013,September
Oct 2013,296.88,Oct,2013,October
Nov 2013,305.0,Nov,2013,November
Dec 2013,305.0,Dec,2013,December
Jan 2014,330.0,Jan,2014,January
Feb 2014,353.13,Feb,2014,February
Mar 2014,327.5,Mar,2014,March
Apr 2014,260.0,Apr,2014,April
May 2014,265.0,May,2014,May
Jun 2014,288.75,Jun,2014,June
Jul 2014,305.0,Jul,2014,July
Aug 2014,311.25,Aug,2014,August
Sep 2014,317.5,Sep,2014,September
Oct 2014,317.5,Oct,2014,October
Nov 2014,317.5,Nov,2014,November
Dec 2014,308.13,Dec,2014,December
Jan 2015,305.0,Jan,2015,January
Feb 2015,305.0,Feb,2015,February
Mar 2015,295.5,Mar,2015,March
Apr 2015,260.0,Apr,2015,April
May 2015,265.0,May,2015,May
Jun 2015,288.75,Jun,2015,June
Jul 2015,283.75,Jul,2015,July
Aug 2015,274.63,Aug,2015,August
Sep 2015,279.38,Sep,2015,September
Oct 2015,250.63,Oct,2015,October
Nov 2015,263.63,Nov,2015,November
Dec 2015,264.0,Dec,2015,December
Jan 2016,233.88,Jan,2016,January
Feb 2016,191.88,Feb,2016,February
Mar 2016,201.75,Mar,2016,March
Apr 2016,196.25,Apr,2016,April
May 2016,198.38,May,2016,May
Jun 2016,142.63,Jun,2016,June
Jul 2016,181.0,Jul,2016,July
Aug 2016,186.25,Aug,2016,August
Sep 2016,187.3,Sep,2016,September
Oct 2016,187.5,Oct,2016,October
Nov 2016,205.0,Nov,2016,November
Dec 2016,217.75,Dec,2016,December
Jan 2017,233.75,Jan,2017,January
Feb 2017,191.88,Feb,2017,February
Mar 2017,223.5,Mar,2017,March
Apr 2017,207.88,Apr,2017,April
May 2017,178.75,May,2017,May
Jun 2017,191.0,Jun,2017,June
Jul 2017,181.0,Jul,2017,July
Aug 2017,192.63,Aug,2017,August
Sep 2017,219.0,Sep,2017,September
Oct 2017,252.5,Oct,2017,October
Nov 2017,280.0,Nov,2017,November
Dec 2017,214.63,Dec,2017,December
Jan 2018,219.63,Jan,2018,January
Feb 2018,232.5,Feb,2018,February
Mar 2018,232.5,Mar,2018,March
Apr 2018,230.63,Apr,2018,April
May 2018,221.88,May,2018,May
Jun 2018,224.0,Jun,2018,June
Jul 2018,252.5,Jul,2018,July
Aug 2018,260.0,Aug,2018,August
Sep 2018,267.5,Sep,2018,September
Oct 2018,270.0,Oct,2018,October
Nov 2018,305.6,Nov,2018,November
Dec 2018,276.67,Dec,2018,December
Jan 2019,260.0,Jan,2019,January
Feb 2019,250.63,Feb,2019,February
Mar 2019,247.5,Mar,2019,March
Apr 2019,247.5,Apr,2019,April
May 2019,247.5,May,2019,May
Jun 2019,247.5,Jun,2019,June
Jul 2019,263.5,Jul,2019,July
Aug 2019,262.5,Aug,2019,August
Sep 2019,237.75,Sep,2019,September
Oct 2019,237.0,Oct,2019,October
Nov 2019,224.5,Nov,2019,November
Dec 2019,217.5,Dec,2019,December
Jan 2020,215.4,Jan,2020,January
Feb 2020,214.38,Feb,2020,February
Mar 2020,231.13,Mar,2020,March
Apr 2020,235.0,Apr,2020,April
May 2020,201.9,May,2020,May
Jun 2020,202.0,Jun,2020,June
Jul 2020,214.4,Jul,2020,July
Aug 2020,249.5,Aug,2020,August
Sep 2020,250.5,Sep,2020,September
Oct 2020,245.0,Oct,2020,October
Nov 2020,245.0,Nov,2020,November
Dec 2020,245.0,Dec,2020,December
Jan 2021,265.0,Jan,2021,January
Feb 2021,335.0,Feb,2021,February
Mar 2021,352.88,Mar,2021,March
Apr 2021,328.1,Apr,2021,April
May 2021,331.63,May,2021,May
Jun 2021,393.25,Jun,2021,June
Jul 2021,441.5,Jul,2021,July
Aug 2021,446.88,Aug,2021,August
Sep 2021,418.75,Sep,2021,September
Oct 2021,695.0,Oct,2021,October
Nov 2021,900.5,Nov,2021,November
Dec 2021,890.0,Dec,2021,December
Jan 2022,846.38,Jan,2022,January
Feb 2022,744.17,Feb,2022,February
Mar 2022,872.5,Mar,2022,March
Apr 2022,925.0,Apr,2022,April
May 2022,707.5,May,2022,May
Jun 2022,690.0,Jun,2022,June
